id;||;order_id;||;reason;||;suggstion;||;remark;||;status;||;types;||;staff_id_1;||;staff_id_2;||;process_at;||;is_violation;||;customer_id;||;created_at;||;updated_at;||;store_id

|::|51;||;5;||;;||;;||;;||;;||;3;||;;||;;||;;||;0;||;11;||;2013-03-26 06:51:31 +0800;||;;||;2

|::|52;||;9;||;;||;;||;;||;;||;5;||;;||;;||;;||;;||;;||;2013-03-26 06:51:31 +0800;||;;||;2

|::|53;||;1;||;;||;;||;;||;;||;2;||;;||;;||;;||;;||;;||;2013-03-26 15:07:13 +0800;||;2013-03-26 15:07:13 +0800;||;

|::|54;||;2;||;;||;;||;;||;;||;3;||;;||;;||;;||;;||;;||;2013-03-26 15:07:13 +0800;||;2013-03-26 15:07:13 +0800;||;

|::|55;||;5;||;;||;;||;;||;;||;3;||;;||;;||;;||;0;||;11;||;2013-03-26 06:51:31 +0800;||;2013-03-26 16:14:17 +0800;||;2

|::|56;||;9;||;;||;;||;;||;;||;5;||;;||;;||;;||;;||;;||;2013-03-26 06:51:31 +0800;||;2013-03-26 16:14:17 +0800;||;2

|::|57;||;1;||;;||;;||;;||;;||;2;||;;||;;||;;||;;||;;||;2013-03-26 15:07:13 +0800;||;2013-03-26 15:07:13 +0800;||;

|::|58;||;2;||;;||;;||;;||;;||;3;||;;||;;||;;||;;||;;||;2013-03-26 15:07:13 +0800;||;2013-03-26 15:07:13 +0800;||;

|::|59;||;5;||;;||;;||;;||;;||;3;||;;||;;||;;||;0;||;11;||;2013-03-26 06:51:31 +0800;||;2013-03-26 16:16:17 +0800;||;2

|::|60;||;9;||;;||;;||;;||;;||;5;||;;||;;||;;||;;||;;||;2013-03-26 06:51:31 +0800;||;2013-03-26 16:16:17 +0800;||;2

|::|61;||;1;||;;||;;||;;||;;||;2;||;;||;;||;;||;;||;;||;2013-03-26 15:07:13 +0800;||;2013-03-26 15:07:13 +0800;||;

|::|62;||;2;||;;||;;||;;||;;||;3;||;;||;;||;;||;;||;;||;2013-03-26 15:07:13 +0800;||;2013-03-26 15:07:13 +0800;||;

|::|
